titulo,nombreLibro,contenido,calificacion,fechaCreacion
American Virgin,Yolanda and the Thief,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,1,2022-07-23
Backstage,Beautiful Boy,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,9,2023-06-16
Gold,"Amazing Spider-Man, The",urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,7,2023-07-07
Slaughter,Nude Nuns with Big Guns,et eros vestibulum ac est lacinia nisi venenatis tristique fusce,2,2023-02-19
Autumn in New York,Don't Tell Mom the Babysitter's Dead,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,8,2023-04-29
Alvin and the Chipmunks,Up in the Wind,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,6,2022-08-19
Love and Lemons (Små citroner gula),"X, Y and Zee (Zee and Co.)",praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,3,2022-08-20
Stand Up and Fight,Los Marziano,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,5,2023-02-10
Analyze That,Medicine for Melancholy,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,2,2022-11-19
Ravenous,"Haunted Castle, The (Hiroku kaibyô-den)",augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,1,2022-12-15
"Computer Wore Tennis Shoes, The",In Which We Serve,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,6,2023-05-12
Nobody Walks,My Life So Far,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,10,2023-04-17
Raffles,I Walk the Line,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,9,2022-08-26
Guys and Dolls,Palindromes,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,6,2023-05-24
"Scenesters, The","Vampire, The",facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,9,2023-06-05
Irma la Douce,Pigs with a P.38,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,6,2023-03-08
Honeysuckle Rose (a.k.a. On the Road Again),Elvira Madigan,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,10,2023-04-01
"Best of Everything, The",Stir of Echoes,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,2,2023-06-07
Dead in Tombstone,Delusions of Grandeur (La folie des grandeurs),massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,2,2023-03-14
King Solomon's Mines,Deep End,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,10,2023-06-08
Hellraiser: Hellseeker,American Soldiers,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,9,2022-09-05
Lovesick,Beowulf,quisque erat eros viverra eget congue eget semper rutrum nulla nunc,7,2023-05-15
Already Dead,"Trouble with Girls, The",nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,4,2022-09-30
"Othello (Tragedy of Othello: The Moor of Venice, The)","No Retreat, No Surrender",venenatis lacinia aenean sit amet justo morbi ut odio cras,2,2023-06-15
Autism: The Musical,Friends & Lovers,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,9,2022-12-24
Judas Kiss,Man on Wire,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,8,2023-07-16
Living in Emergency: Stories of Doctors Without Borders,City Zero,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,5,2023-03-09
Video Games: The Movie,Chromophobia,placerat praesent blandit nam nulla integer pede justo lacinia eget,1,2023-05-30
My Man Godfrey,"Lincoln Lawyer, The",dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,7,2022-11-19
L.I.E.,Man of Marble (Czlowiek z Marmuru),potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,3,2023-07-14
Christmas in July,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,3,2023-06-27
Aliyah (Alyah) ,Family Secrets (Familjehemligheter),sit amet turpis elementum ligula vehicula consequat morbi a ipsum,3,2023-06-07
Roman Holiday,One-Eyed Jacks,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,4,2022-12-16
Speed 2: Cruise Control,Kill Me Please,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,3,2023-03-27
Barbarian Queen II: The Empress Strikes Back,Ricky Gervais: Out of England - The Stand-Up Special,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,2,2022-08-31
Exit to Hell,"Pied Piper, The (Pied Piper of Hamelin, The)",pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,6,2023-02-09
Woman in the Dunes (Suna no onna),Manson,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,5,2022-09-08
One Small Hitch,Wonderland,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,3,2022-08-21
Common,Kill a Rat,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,7,2023-01-04
Central Station (Central do Brasil),Fun on a Weekend,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,6,2023-05-02
"Synecdoche, New York",What Price Hollywood?,nisi eu orci mauris lacinia sapien quis libero nullam sit,6,2023-05-06
"Pellet (Bola, El)","Traviata, La",at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,2,2023-04-04
"Mambo Kings, The",Comrades: Almost a Love Story (Tian mi mi),proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,1,2023-03-14
